user_id,Time,,,,,,,,,,,,
9562,"9/12/17, 10:28",,,,,,,,,,,,
9562,"9/12/17, 10:28",,,,,,,,,,,,
9562,"9/12/17, 10:28",,,,,,,,,,,,
9562,"9/12/17, 10:28",,,,,,,,,,,,
9562,"9/12/17, 10:27",,,,,,,,,,,,
9562,"9/12/17, 10:27",,,,,,,,,,,,
9562,"9/12/17, 10:27",,,,,,,,,,,,
9562,"9/12/17, 10:27",,,,,,,,,,,,
9562,"9/12/17, 10:26",,,,,,,,,,,,
9562,"9/12/17, 10:24",,,,,,,,,,,,
21095,"9/11/17, 23:33",,,,,,,,,,,,
21095,"9/11/17, 23:33",,,,,,,,,,,,
21095,"9/11/17, 23:33",,,,,,,,,,,,
11017,"9/11/17, 23:33",,,,,,,,,,,,
11017,"9/11/17, 23:33",,,,,,,,,,,,
11017,"9/11/17, 23:33",,,,,,,,,,,,
11017,"9/11/17, 23:33",,,,,,,,,,,,
21095,"9/11/17, 23:33",,,,,,,,,,,,
21095,"9/11/17, 23:32",,,,,,,,,,,,
21095,"9/11/17, 23:32",,,,,,,,,,,,
21095,"9/11/17, 23:32",,,,,,,,,,,,
11017,"9/11/17, 23:32",,,,,,,,,,,,
11017,"9/11/17, 23:32",,,,,,,,,,,,
21095,"9/11/17, 23:32",,,,,,,,,,,,
11017,"9/11/17, 23:32",,,,,,,,,,,,
21095,"9/11/17, 23:32",,,,,,,,,,,,
21095,"9/11/17, 23:32",,,,,,,,,,,,
21095,"9/11/17, 23:32",,,,,,,,,,,,
12128,"9/11/17, 23:25",,,,,,,,,,,,
12128,"9/11/17, 23:25",,,,,,,,,,,,
12128,"9/11/17, 23:25",,,,,,,,,,,,
12128,"9/11/17, 23:25",,,,,,,,,,,,
12128,"9/11/17, 23:25",,,,,,,,,,,,
12128,"9/11/17, 23:25",,,,,,,,,,,,
2,"9/11/17, 23:23",,,,,,,,,,,,
2,"9/11/17, 23:23",,,,,,,,,,,,
2,"9/11/17, 23:23",,,,,,,,,,,,
2,"9/11/17, 23:23",,,,,,,,,,,,
